date,nav_strategy,nav_benchmark
2016-01-04,1.0,1.0
2016-01-05,1.0,1.002800033046357
2016-01-06,1.0,1.0203922312004308
2016-01-07,1.0,0.9496457288707836
2016-01-08,1.0,0.9690109690037048
2016-01-11,1.0,0.9202620290151856
2016-01-12,1.0,0.9269670033970524
2016-01-13,1.0,0.9097199413490581
2016-01-14,1.0,0.9286566511760426
2016-01-15,1.0,0.8990114111976301
2016-01-18,1.0,0.9024702094183155
2016-01-19,1.0,0.9291045238629346
2016-01-20,1.0,0.9150526156001288
2016-01-21,1.0,0.8882348223853439
2016-01-22,1.0,0.8974929910533271
2016-01-25,1.0,0.9019389713577676
2016-01-26,1.0,0.8476368943319674
2016-01-27,1.0,0.8447091323884219
2016-01-28,1.0,0.8226295018526887
2016-01-29,1.0,0.8492458864002076
2016-02-01,1.0,0.836261844758108
2016-02-02,1.1099263824999999,0.8536400083688227
2016-02-03,1.21992220125,0.8499804933096982
2016-02-04,1.21991675625,0.8603928630707594
2016-02-05,1.16845093125,0.8543478933898696
2016-02-15,1.21672993125,0.8494235711039472
2016-02-16,1.22926993125,0.8754619038402899
2016-02-17,1.19791993125,0.8830387555014083
2016-02-18,1.20108821875,0.8802652713862883
2016-02-19,1.1830466687499999,0.8796560296254939
2016-02-22,1.1739110675,0.8990510183979769
2016-02-23,1.1549110674999998,0.8905460495392101
2016-02-24,1.1234110675,0.8963638111028264
2016-02-25,1.0114110674999999,0.841364774186206
2016-02-26,0.9051849314999999,0.8498052300068532
2016-02-29,0.8811349315,0.8294643094444263
2016-03-01,0.8859449314999999,0.84480766034387
2016-03-02,0.9268299314999999,0.8795833011200535
2016-03-03,0.9191339315,0.8816268481702654
2016-03-04,0.8223025702499998,0.8918508098807685
2016-03-07,0.8280578252499997,0.8950073365564485
2016-03-08,0.8228010969999997,0.8958239828343431
2016-03-09,0.8118260969999997,0.8855140902182841
2016-03-10,0.7780230969999997,0.8685754396961349
2016-03-11,0.8825309082499997,0.8700567316933876
2016-03-14,0.8318793457499998,0.8837220805990961
2016-03-15,0.7490613457499997,0.8863421516718244
2016-03-16,0.7237933582499997,0.8907390697819487
2016-03-17,0.7637433582499997,0.9005892997948554
2016-03-18,0.7510792122499996,0.9143564340167392
2016-03-21,0.7448546522499997,0.9366893027293627
2016-03-22,0.7368077309999996,0.9298727997753401
2016-03-23,0.7734374372499996,0.9328425038415237
2016-03-24,0.7494624572499996,0.9172066823054572
2016-03-25,0.7257094672499997,0.9218091312296086
2016-03-28,0.6579545259999997,0.9137122549001804
2016-03-29,0.6557585259999997,0.9038195350668141
2016-03-30,0.6767425259999997,0.9271299867382178
2016-03-31,0.6486825259999998,0.9276524904598246
2016-04-01,0.6379465259999997,0.9287498751104836
2016-04-05,0.6697059284999997,0.9410272424319835
2016-04-06,0.6646365734999997,0.9390214577052464
2016-04-07,0.6333365984999996,0.9251164477633779
2016-04-08,0.6175223197499997,0.9183237264252841
2016-04-11,0.6028358384999996,0.9311138830386113
2016-04-12,0.5710128384999996,0.9277567836554979
2016-04-13,0.5770688859999996,0.9401328518896526
2016-04-14,0.6005416984999996,0.944297949690323
2016-04-15,0.5850536984999996,0.9432524810278916
2016-04-18,0.6247232172499997,0.9306403838589186
2016-04-19,0.6354732172499996,0.93347970701741
2016-04-20,0.6355457422499997,0.9169690679295771
2016-04-21,0.6248742872499996,0.9110818640474488
2016-04-22,0.6070292872499996,0.915203405458218
2016-04-25,0.5948971657499996,0.9114940210711459
2016-04-26,0.5999771657499996,0.9164311998427703
2016-04-27,0.6130154157499996,0.9126131983298559
2016-04-28,0.6058334157499996,0.9110754069783966
2016-04-29,0.5912257282499995,0.9099696915556122
2016-05-03,0.6067062494999995,0.9263414171802198
2016-05-04,0.5868478319999996,0.9251657982197053
2016-05-05,0.5633537702499996,0.9264510143969001
2016-05-06,0.5583131452499996,0.9023622552950993
2016-05-09,0.5441524447499997,0.8837004609482517
2016-05-10,0.5179962037499997,0.8847085132016218
2016-05-11,0.49771857749999965,0.8886566073602169
2016-05-12,0.5186918462499996,0.8907691643359241
2016-05-13,0.5322251037499997,0.8863869764145752
2016-05-16,0.5532782057499998,0.8922598536747439
2016-05-17,0.5021844557499997,0.8895837444670268
2016-05-18,0.4932499757499997,0.8843981703203012
2016-05-19,0.5359699757499997,0.8828024671307799
2016-05-20,0.5130899757499997,0.8873333982499382
2016-05-23,0.5214099757499997,0.8899289670517097
2016-05-24,0.5495699757499998,0.883106698857462
2016-05-25,0.5409299757499998,0.8818586108273171
2016-05-26,0.5359699757499997,0.8832956546058417
2016-05-27,0.4982099757499997,0.8828022076949699
2016-05-30,0.4766099757499997,0.8840158484147693
2016-05-31,0.5048693777499997,0.9136636827512833
2016-06-01,0.5084718052499997,0.911065634896215
2016-06-02,0.5196669214999997,0.912954529377387
2016-06-03,0.48146006049999973,0.9193613831872104
2016-06-06,0.4871681294999997,0.9163239087221801
2016-06-07,0.5181019179999997,0.9158238606112503
2016-06-08,0.5507359254999996,0.9120570832577365
2016-06-13,0.5600270754999996,0.8839097103422241
2016-06-14,0.6158270754999997,0.8866891614809772
2016-06-15,0.6759364067499998,0.8983305651532392
2016-06-16,0.6768000414999997,0.8920771820382095
2016-06-17,0.6754690414999998,0.8965978222035659
2016-06-20,0.6748750414999997,0.8972657829360534
2016-06-21,0.6746220414999997,0.8954333301566859
2016-06-22,0.6977424877499997,0.9034019298911043
2016-06-23,0.6643472339999998,0.8986040104971188
